1,Administrador de Banco de Dados
2,Açougueiro
3,Acompanhante de Idosos
4,Acupunturista
5,Administrador de Empresas
6,Administrador de Redes
7,Administrador de Redes Junior
8,Administrador de Redes Pleno
9,Administrador de Redes Sênior
10,Administrador de Sistemas
11,Administrador Hospitalar
12,Administrador Público
13,Advogado
14,Advogado Civil
15,Aeronauta
16,Afiador de Ferramentas
17,Agente Comunitário de Saúde
18,Agente de Defesa Sanitária
19,Agente de Viagens
20,Agente Funerário
21,Agente Penitenciário
22,Agricultor
23,Agrônomo
24,Ajudante de Motorista
25,Ajudante de Transportes
26,Alfaiate
27,Almirante
28,Almoxarife
29,Ambientalista
30,Ambulante
31,Analista Administrativo
32,Analista Administrativo de Vendas
33,Analista Administrativo Financeiro
34,Analista Ambiental
35,Analista Comercial Interno
36,Analista Comercial Externo
37,Analista de Atendimento a Clientes
38,Analista de Atendimento Comercial
39,Analista de Banco
40,Analista de Banco de Dados
41,Analista de Cargos e Salários
42,Analista de Cobrança
43,Analista de Comércio Exterior
44,Analista de Compras
45,Analista de Comunicação
46,Analista de Contabilidade
47,Analista de Contas a Pagar e Receber
48,Analista de Controladoria
49,Analista de Controladoria Junior
50,Analista de Controladoria Pleno
51,Analista de Controladoria Sênior
52,Analista de Controle de Qualidade
53,Analista de Crédito e Cobrança
54,Analista de Custos
55,Analista de Departamento Pessoal
56,Analista de Desenvolvimento de Produto
57,Analista de Desenvolvimento de Sistemas
58,Analista de Desenvolvimento Web
59,Analista de Distribuição
60,Analista de E-commerce
61,Analista de Estoque
62,Analista de Engenharia Elétrica
63,Analista Financeiro
64,Analista de Fiscal
65,Analista Químico
66,Anestesiologista
67,Angiologista
68,Antropólogo
69,Apicultor
70,Apresentador
71,Argumentista
72,Armador
73,Armeiro
74,Arquiteto
75,Arquiteto de Interiores
76,Arquiteto Paisagista
77,Arquiteto Urbanista
78,Arquiteto Projetista
79,Arquiteto Vendedor
80,Arquivista
81,Arrumadeira
82,Artista de Espetáculo de Diversões
83,Artista Plástico
84,Ascensorista
85,Assessor de Imprensa
86,Analista de Fundição
87,Analista de Informática
88,Analista de Investimentos
89,Analista de Logística
90,Analista de Loja
91,Analista de Manutenção
92,Analista de Manutenção Elétrica
93,Analista de Marketing
94,Analista de PCP
95,Analista de Produção
96,Analista de Programação
97,Analista de Publicidade e Propaganda
98,Analista de Qualidade
99,Analista de Recrutamento e Seleção
100,Analista de Recursos Humanos
101,Analista de Redes
102,Analista de Relações Públicas
103,Analista de Representação Comercial
104,Analista de SAC
105,Analista de Segurança Patrimonial
106,Analista de Seguros
107,Analista de Sistemas
108,Analista de Suporte Técnico
109,Analista de Suprimentos
110,Analista de Tecnologia da Informação (TI)
111,Analista de Telecomunicações
112,Analista de Telemarketing Ativo
113,Analista de Telemarketing Receptivo
114,Analista de Tesouraria
115,Analista de Transportes
116,Analista de Treinamento
117,Analista de Treinamento Sênior
118,Analista Econômico
119,Assistente Comercial Interno
120,Assistente de Almoxarifado
121,Assistente de Arquitetura
122,Assistente Administrativo
123,Assistente de Atendimento a Clientes
124,Assistente de Atendimento Comercial
125,Assistente de Cobrança
126,Assistente de Comércio Exterior
127,Assistente de Compras
128,Assistente de Comunicação
129,Assistente de Contabilidade
130,Assistente de Contas a Pagar e Receber
131,Assistente de Controladoria
132,Assistente de Controle de Qualidade
133,Assistente de Cozinha
134,Assistente de Crédito e Cobrança
135,Assistente de Custos
136,Assistente de Departamento Pessoal
137,Assistente de Desenvolvimento de Produto
138,Assistente de Desenvolvimento de Sistemas
139,Assistente de Distribuição
140,Assistente de E-commerce
141,Assistente de Enfermagem
142,Assistente de Engenharia Elétrica
143,Assistente de Estoque
144,Assistente Financeiro
145,Assistente de Informática
146,Assistente de Jornalismo
147,Assistente de Limpeza
148,Assistente de Logística
149,Assistente de Loja
150,Assistente de Manutenção
